0010,A000
0011,A001
0019,A009
0020,A0100
0021,A011
0022,A012
0023,A013
0029,A014
0030,A020
0031,A021
00320,A0220
00321,A0221
00322,A0222
00323,A0223
00324,A0224
00329,A0229
0038,A028
0039,A029
0040,A030
0041,A031
0042,A032
0043,A033
0048,A038
0049,A039
0050,A050
0051,A051
0052,A052
0053,A058
0054,A053
00581,A055
00589,A054
00589,A058
0059,A059
0060,A060
0061,A061
0062,A062
0063,A064
0064,A065
0065,A066
0066,A067
0068,A0689
0069,A069
0070,A070
0071,A071
0072,A073
0073,A078
0074,A072
0075,A074
0078,A078
0079,A079
00800,A044
00801,A040
00802,A041
00803,A042
00804,A043
00809,A044
0081,A048
0082,A048
0083,A048
00841,A048
00842,A048
00843,A045
00844,A046
00845,A047
00846,A048
00847,A048
00849,A048
0085,A049
00861,A080
00862,A082
00863,A0811
00864,A0819
00865,A0831
00866,A0832
00867,A0839
00869,A0839
0088,A088
0090,A09
0091,A09
0092,A09
0093,A09
01000,A157
01001,A157
01002,A157
01003,A157
01004,A157
01005,A157
01006,A157
01010,A156
01011,A156
01012,A156
01013,A156
01014,A156
01015,A156
01016,A156
01080,A157
01081,A157
01082,A157
01083,A157
01084,A157
01085,A157
01086,A157
01090,A157
01091,A157
01092,A157
01093,A157
01094,A157
01095,A157
01096,A157
01100,A150
01101,A150
01102,A150
01103,A150
01104,A150
01105,A150
01106,A150
01110,A150
01111,A150
01112,A150
01113,A150
01114,A150
01115,A150
01116,A150
01120,A150
01121,A150
01122,A150
01123,A150
01124,A150
01125,A150
01126,A150
01130,A155
01131,A155
01132,A155
01133,A155
01134,A155
01135,A155
01136,A155
01140,A150
01141,A150
01142,A150
01143,A150
01144,A150
01145,A150
01146,A150
01150,A150
01151,A150
01152,A150
01153,A150
01154,A150
01155,A150
01156,A150
01160,A150
01161,A150
01162,A150
01163,A150
01164,A150
01165,A150
01166,A150
01170,A150
01171,A150
01172,A150
01173,A150
01174,A150
01175,A150
01176,A150
01180,A150
01181,A150
01182,A150
01183,A150
01184,A150
01185,A150
01186,A150
01190,A150
01191,A150
01192,A150
01193,A150
01194,A150
01195,A150
01196,A150
01200,A156
01201,A156
01202,A156
01203,A156
01204,A156
01205,A156
01206,A156
01210,A154
01211,A154
01212,A154
01213,A154
01214,A154
01215,A154
01216,A154
01220,A155
01221,A155
01222,A155
01223,A155
01224,A155
01225,A155
01226,A155
01230,A155
01231,A155
01232,A155
01233,A155
01234,A155
01235,A155
01236,A155
01280,A158
01281,A158
01282,A158
01283,A158
01284,A158
01285,A158
01286,A158
01300,A170
01301,A170
01302,A170
01303,A170
01304,A170
01305,A170
01306,A170
01310,A171
01311,A171
01312,A171
01313,A171
01314,A171
01315,A171
01316,A171
01320,A1781
01321,A1781
01322,A1781
01323,A1781
01324,A1781
01325,A1781
01326,A1781
01330,A1781
01331,A1781
01332,A1781
01333,A1781
01334,A1781
01335,A1781
01336,A1781
01340,A1781
01341,A1781
01342,A1781
01343,A1781
01344,A1781
01345,A1781
01346,A1781
01350,A1781
01351,A1781
01352,A1781
01353,A1781
01354,A1781
01355,A1781
01356,A1781
01360,A1782
01361,A1782
01362,A1782
01363,A1782
01364,A1782
01365,A1782
01366,A1782
01380,A1789
01381,A1789
